Call;QRG;Input;Locator;Info;Breite;L‰nge;CTCSS;Mode/Node;Entfernung zu JO40HD<br>
DB0HTV;145,750;145,1500;JO40HD;Fernmeldeturm Frankfurt (Europa-Turm) (TG 26269);50&deg;08'N;08&deg;39'E;;;1.98km;FR;;26269;<br>
DB0HTV-R;145,750;;JO40HD;[VFDB] Frankfurt TV-Tower;50&deg;08'N;08&deg;39'E;67,0Hz;EL#845239;2.02km;E;845239;0;<br>
DB0HTV-XLX;145,750;145,1500;JO40ID;XLX-Bridge auf XLX169 Modul F von TG 26269 FM-Funknetz (TG 26269);50&deg;09'N;08&deg;41'E;;;2.31km;FR;;26269;<br>
DK1ML-L;145,337;;JO40HC;Frankfurt/Main DB0FFM-R;50&deg;06'N;08&deg;37'E;;EL#7750;6.29km;E;7750;0;<br>
DB0PX-R;439,375;;JO40GD;Eschborn/JO40GD F43;50&deg;08'N;08&deg;33'E;;EL#492082;7.29km;E;492082;0;<br>
DB0ZAV-R;438,600;;JO40JF;[Svx] 438,600,EmCom-HESSEN;50&deg;12'N;08&deg;47'E;127,3Hz;EL#449487;11.41km;E;449487;0;<br>
DB0ZAV;438,600;431,0000;JO40JF;EmCom-KARBEN-HESSEN (TG 0);50&deg;12'N;08&deg;47'E;127,3Hz;FM;11.42km;FR;;0;<br>
DM0ZAV;145,2375;145,2375;JO40JF;EmCom-KARBEN-HESSEN (TG 0);50&deg;12'N;08&deg;47'E;127,3Hz;FM;11.42km;FR;;0;<br>
DM0ZAV-L;145,237;;JO40JF;[Svx] 145.2375,EmCom-HESSEN;50&deg;13'N;08&deg;47'E;127,3Hz;EL#282208;12.10km;E;282208;0;<br>
DQ4T-L;144,780;;JO40FD;[Svx] Liederbach JO40fc;50&deg;07'N;08&deg;28'E;;EL#630777;13.40km;E;630777;0;<br>
DB0CM-R;439,07500;431,475;JO40LA;SELIGENSTADT;50&deg;01'N;08&deg;57'E;;el#520462;26.04km;E;520462;0;<br>
DB0LDH;432,850;432,8500;JO40KI;EmCom-Florstadt-HE (TG 26265);50&deg;20'N;08&deg;53'E;91,5Hz;FM;27.57km;FR;;26265;<br>
DB0LDH-L;432,850;;JO40KI;Florstadt - JO40KI;50&deg;20'N;08&deg;54'E;91,5Hz;EL#447862;27.64km;E;447862;0;<br>
DB0GU;439,9375;430,5375;JN49LV;Gro√ü-Umstadt (TG 26264);49&deg;53'N;08&deg;57'E;118,8Hz;;36.57km;FR;;26264;<br>
DB0OVA-R;439,1375;431,5375;JN49MV;Schaafheim, Hessen (TG 63739);49&deg;54'N;09&deg;00'E;88,5Hz;FM,el#249862;37.41km;E;249862;63739;<br>
DB0OVA;439,1375;431,5375;JN49MV;Schaafheim, Hessen (TG 63739);49&deg;54'N;09&deg;00'E;88,5Hz;FM;37.41km;FR;;63739;<br>
DB0LDK-R;439,0375;431,4375;JO40GM;Wetzlar KKH (TG 26262);50&deg;32'N;08&deg;31'E;74,4Hz;FM,el#951208;43.72km;E;951208;26262;<br>
DB0LDK;439,0375;431,4375;JO40GM;Wetzlar KKH (TG 26262);50&deg;32'N;08&deg;31'E;74,4Hz;FM;43.72km;FR;;26262;<br>
DB0CGW;439,125;431,5250;JO40PG;Wittgenborn (TG 26269);50&deg;17'N;09&deg;16'E;;;45.86km;FR;;26269;<br>
DB0IO;438,975;431,3750;JN49IR;Lautertal, Felsberg (TG 26264);49&deg;43'N;08&deg;41'E;118,8Hz;;47.11km;FR;;26264;<br>
Daten mit Copy & Paste in eine Datei mit der Endung .csv speichern. Kann direkt von Excel gelesen werden (File-Exloprer und Doppelklick auf die Datei).<br>
